Time(s),Vehicle Name,Road Name,Travelled Distance (m),Speed(km/h),Steering Wheel Angle(-1..1),Acceleration(m/s^2),Accelerate (0..1),Brake (0..1),X Pos(m),Y Pos(m),Z Pos(m),Distance to the left border(m),Distance to the right border(m)
5.09128633297708,[user's car],,62.8957584775863,43.9775299072266,0,-0.0517370291054249,0,0,4018.3147, 5530.4376, 3.0000,0.0000, 0.0000
5.1016450942811,[user's car],,63.0222843568573,43.9717792510986,0,-0.0513511672616005,0,0,4018.2107, 5530.3734, 3.0000,0.0000, 0.0000
5.11500933774524,[user's car],,63.1854968829132,43.9654586791992,0,-0.0517232641577721,0,0,4018.0964, 5530.3029, 3.0000,0.0000, 0.0000
5.12874842976387,[user's car],,63.3532586392724,43.9579502105713,0,-0.0525585487484932,0,0,4017.9614, 5530.2194, 3.0000,0.0000, 0.0000
5.14217514798708,[user's car],,63.517176076895,43.9498889923096,0,-0.0513236410915852,0,0,4017.8159, 5530.1295, 3.0000,0.0000, 0.0000
5.15212916210192,[user's car],,63.6386754599342,43.9418483734131,0,-0.0513098761439323,0,0,4017.6707, 5530.0397, 3.0000,0.0000, 0.0000
5.17699723995439,[user's car],,63.9421292794049,43.9291591644287,0,-0.0512876063585281,0,0,4017.4421, 5529.8986, 3.0000,0.0000, 0.0000
5.18684326198567,[user's car],,64.0622569342515,43.9222618103027,0,-0.0512876063585281,0,0,4017.3176, 5529.8217, 3.0000,0.0000, 0.0000
5.19929894395345,[user's car],,64.2142021994232,43.9159378051758,0,-0.052028551697731,0,0,4017.2034, 5529.7511, 3.0000,0.0000, 0.0000
5.21206699971663,[user's car],,64.369935557948,43.9095897674561,0,-0.0520200431346893,0,0,4017.0894, 5529.6806, 3.0000,0.0000, 0.0000
5.22522061399301,[user's car],,64.5303400916665,43.9009620666504,0,-0.0512515716254711,0,0,4016.9336, 5529.5844, 3.0000,0.0000, 0.0000
5.23489036795402,[user's car],,64.6482429944048,43.8946483612061,0,-0.0516289249062538,0,0,4016.8196, 5529.5141, 3.0000,0.0000, 0.0000
5.25913146697428,[user's car],,64.9437283878391,43.8819797515869,0,-0.0516066551208496,0,0,4016.5913, 5529.3729, 3.0000,0.0000, 0.0000
5.26842235614629,[user's car],,65.0569613122745,43.8750823974609,0,-0.0512207932770252,0,0,4016.4670, 5529.2960, 3.0000,0.0000, 0.0000
5.2927629685328,[user's car],,65.3535274964543,43.8624240875244,0,-0.051956482231617,0,0,4016.2388, 5529.1552, 3.0000,0.0000, 0.0000
5.30190302578646,[user's car],,65.4648724947467,43.8555233001709,0,-0.0515706203877926,0,0,4016.1145, 5529.0783, 3.0000,0.0000, 0.0000
5.32642659996742,[user's car],,65.7635387642511,43.8434692382813,0,-0.0511795021593571,0,0,4015.8970, 5528.9440, 3.0000,0.0000, 0.0000
5.33563984193886,[user's car],,65.8757267690962,43.8365581512451,0,-0.05192044749856,0,0,4015.7727, 5528.8671, 3.0000,0.0000, 0.0000
5.35935169050004,[user's car],,66.1643822579882,43.8244937896729,0,-0.0511487238109112,0,0,4015.5552, 5528.7328, 3.0000,0.0000, 0.0000
5.36857698117502,[user's car],,66.2766669615571,43.8170402526855,0,-0.0506685264408588,0,0,4015.4204, 5528.6495, 3.0000,0.0000, 0.0000
5.39265876955962,[user's car],,66.5696952014274,43.804955291748,0,-0.051126454025507,0,0,4015.2031, 5528.5153, 3.0000,0.0000, 0.0000
5.40174616951633,[user's car],,66.6802537085946,43.7980751037598,0,-0.0511126928031445,0,0,4015.0789, 5528.4386, 3.0000,0.0000, 0.0000
5.42595781615017,[user's car],,66.9747347046622,43.7860176086426,0,-0.0514762811362743,0,0,4014.8616, 5528.3043, 3.0000,0.0000, 0.0000
5.43507511474159,[user's car],,67.0856089491423,43.7791168212891,0,-0.0514677762985229,0,0,4014.7373, 5528.2277, 3.0000,0.0000, 0.0000
5.44722243914847,[user's car],,67.2333115962024,43.7733867645264,0,-0.0510766580700874,0,0,4014.6338, 5528.1637, 3.0000,0.0000, 0.0000
5.45956611279818,[user's car],,67.3833800591036,43.767073059082,0,-0.0514540113508701,0,0,4014.5200, 5528.0934, 3.0000,0.0000, 0.0000
5.46934609008414,[user's car],,67.5022585251115,43.7590461730957,0,-0.0510628931224346,0,0,4014.3752, 5528.0038, 3.0000,0.0000, 0.0000
5.49285444943003,[user's car],,67.7879345167937,43.7475688934326,0,-0.0510458797216415,0,0,4014.1685, 5527.8761, 3.0000,0.0000, 0.0000
5.5021355211399,[user's car],,67.9007012959009,43.7406818389893,0,-0.0514179766178131,0,0,4014.0444, 5527.7995, 3.0000,0.0000, 0.0000
5.52634850651857,[user's car],,68.1948126498961,43.7286380767822,0,-0.0513957068324089,0,0,4013.8274, 5527.6654, 3.0000,0.0000, 0.0000
5.53559923334546,[user's car],,68.307160622942,43.7211811065674,0,-0.0513904504477978,0,0,4013.6931, 5527.5824, 3.0000,0.0000, 0.0000
5.55957883087413,[user's car],,68.5983071339187,43.7091339111328,0,-0.0513734370470047,0,0,4013.4761, 5527.4484, 3.0000,0.0000, 0.0000
5.56892148484652,[user's car],,68.7117224301477,43.7022571563721,0,-0.0509823188185692,0,0,4013.3523, 5527.3720, 3.0000,0.0000, 0.0000
5.59285913503696,[user's car],,69.0022339228446,43.6902271270752,0,-0.0513459108769894,0,0,4013.1353, 5527.2379, 3.0000,0.0000, 0.0000
5.60195055122819,[user's car],,69.1125515669729,43.6833503723145,0,-0.0508657097816467,0,0,4013.0115, 5527.1613, 3.0000,0.0000, 0.0000
5.62638398325676,[user's car],,69.4089476949019,43.6707401275635,0,-0.0504660867154598,0,0,4012.7844, 5527.0211, 3.0000,0.0000, 0.0000
5.63611621197686,[user's car],,69.5269884834571,43.6638771057129,0,-0.0509377792477608,0,0,4012.6606, 5526.9445, 3.0000,0.0000, 0.0000
5.6475343666956,[user's car],,69.6654594277172,43.6581401824951,0,-0.0513013675808907,0,0,4012.5574, 5526.8807, 3.0000,0.0000, 0.0000
5.65976737077208,[user's car],,69.813790843616,43.6518367767334,0,-0.0513013675808907,0,0,4012.4438, 5526.8107, 3.0000,0.0000, 0.0000
5.66870929378979,[user's car],,69.9221991330404,43.6449565887451,0,-0.0504300519824028,0,0,4012.3201, 5526.7343, 3.0000,0.0000, 0.0000
5.69226941793606,[user's car],,70.2077577661558,43.633517074585,0,-0.0508879795670509,0,0,4012.1138, 5526.6068, 3.0000,0.0000, 0.0000
5.70164375553627,[user's car],,70.3213607992362,43.6266471862793,0,-0.0512653365731239,0,0,4011.9902, 5526.5304, 3.0000,0.0000, 0.0000
5.72524716576562,[user's car],,70.6073201605563,43.6146171569824,0,-0.0503940172493458,0,0,4011.7737, 5526.3966, 3.0000,0.0000, 0.0000
5.73433679696373,[user's car],,70.717425281021,43.6077575683594,0,-0.050857201218605,0,0,4011.6499, 5526.3202, 3.0000,0.0000, 0.0000
5.75815663760847,[user's car],,71.0058818166068,43.5957378387451,0,-0.0512207932770252,0,0,4011.4336, 5526.1867, 3.0000,0.0000, 0.0000
5.76704679582579,[user's car],,71.1135240285833,43.588871383667,0,-0.0503579825162888,0,0,4011.3101, 5526.1102, 3.0000,0.0000, 0.0000
5.79054444521298,[user's car],,71.3979556238361,43.5768585205078,0,-0.0508159138262272,0,0,4011.0938, 5525.9767, 3.0000,0.0000, 0.0000
5.79979561828815,[user's car],,71.509920530649,43.5700057983398,0,-0.0503357127308846,0,0,4010.9702, 5525.9003, 3.0000,0.0000, 0.0000
